time,left effort,right effort,x accel,y accel,z gyro,left line,right line
200.972,0,0,1.526011,5.936885,-15.85635,238,200
201.275,0,0,0.06200981,2.520885,-85.85635,238,200
201.564,0,0,1.03801,2.520885,-15.85635,238,200
201.865,0,0,1.526011,5.936885,-15.85635,238,200
202.161,0,0,2.01401,3.008885,-15.85635,238,200
202.465,0,0,-0.91399,6.424885,-15.85635,238,200
202.753,0.3402865,0.2387261,14.21401,2.032885,-1555.856,238,200
203.062,0.5078396,0.5904798,5.918011,36.19289,-13665.86,238,200
203.354,0.8202913,1.303939,26.90201,39.60888,-26125.86,238,200
203.656,0.5375051,1.490731,29.83001,-14.07112,-41035.86,238,200
203.947,0.4553108,1.545934,-7.74599,-65.79912,-31515.86,238,200
204.257,0,0,-52.15399,-65.79912,21824.14,238,200
204.545,0,0,14.21401,1.544885,-155.8564,238,200
204.85,0.5375051,1.490731,4.942011,76.69688,59764.14,238,200
205.146,0.4707301,1.529408,-61.42599,186.4969,25254.14,238,200
205.455,0.4329543,1.58177,-14.57799,-144.8551,22314.14,238,200
205.742,0.4158848,1.636951,-137.554,-111.1831,14614.14,238,200
206.045,0,0,-33.12199,181.1289,24484.14,238,200
206.335,0.4979503,1.50882,5.43001,6.912885,124.1436,238,200
206.642,0.2087837,1.098223,1.526011,173.3209,-14505.86,156,114
206.94,-0.2,0.8666667,28.85401,14.23288,19304.14,218,194
207.243,0.5115607,1.501331,-22.87399,222.1209,29104.14,218,194
207.533,0,0,11.28601,-107.2791,39394.14,218,194
207.838,0.7139251,-0.0712662,14.21401,8.376885,-15.85635,218,194
208.132,0.7198344,-0.02175105,25.43801,18.13689,-62315.86,218,194
208.442,0,0,43.49401,29.36089,-63225.86,238,198
208.735,0.2009691,0.8939844,18.11801,64.00889,45834.14,238,206
209.04,0,0,4.45401,17.64888,79924.14,238,206
209.334,0.4134389,0.350613,21.04601,20.57689,-1905.856,238,206
209.646,0.808543,0.06490231,35.68601,61.08089,-33755.86,238,178
209.933,1.142529,0.1057383,22.51001,45.95288,-106975.9,214,186
210.241,0,0,22.51001,-23.83112,194.1436,238,198
210.53,0,0,6.894011,4.960885,-85.85635,238,198
210.84,0.8141123,-0.2254065,37.63801,132.8169,-15555.86,202,178
211.147,0.8467692,-0.1953637,68.87001,126.4729,-25565.86,182,176
211.411,0,0,23.48601,-3.335115,1104.144,156,122
211.67,0,0,-1.88999,11.79289,-15.85635,152,104
212.004,0.3131484,0.2464142,2.99001,8.376885,-85.85635,152,104
212.283,0.3029922,0.2552496,-25.80199,-3.335115,2574.144,150,102
212.539,0.264342,0.2930176,2.99001,-5.287115,194.1436,148,104
212.812,0.317647,0.317647,6.40601,-20.41512,5374.144,148,108
213.083,0.3481005,0.2895615,17.14201,37.65688,2154.144,148,114
213.401,0.3663916,0.2747339,-5.79399,0.5688848,3134.144,144,118
213.666,0.3730736,0.2835989,2.01401,-18.95111,1594.144,142,118
214.007,0.3663916,0.2747339,1.03801,79.13689,4394.144,138,122
214.26,0.3865953,0.3011901,12.75001,-33.10312,4394.144,136,126
214.588,0.422222,0.2762136,47.39801,35.70488,-15.85635,136,134
214.937,0.4976162,0.2378844,-17.99399,-15.53512,-13105.86,130,122
215.253,0.4178462,0.722245,34.71001,3.496885,-15065.86,110,74
215.524,0.4428397,0.8054272,23.48601,51.32088,-14295.86,156,118
