time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
790.53,0.7690051,0.5082951,24.23051,14.51435,-21583.89,17.80069,-3208.904,4051.011,-0.004402394,0.003790907
790.793,1.080864,0.7977273,21.30251,135.0504,-30543.89,17.45704,-3221.985,4061.741,-0.003911594,0.003422877
791.074,1.148894,0.9448858,-59.70549,4.754349,2776.108,20.97938,-3236.324,4074.887,-0.004480843,0.004316965
791.341,0.9910585,1.009695,40.82251,58.92235,21676.11,19.7079,-3250.759,4089.967,-0.004478405,0.004927294
791.633,0.641974,1.46294,-70.44149,-44.04565,29236.11,151.1856,-3266.837,4107.302,-0.004884151,0.005535803
791.933,0.4228116,1.608091,-80.20148,58.43435,95456.11,80.41237,-3278.856,4124.959,-0.002888625,0.005045383
792.215,0.4216249,1.612063,-82.64149,-72.83765,107846.1,108.866,-3286.783,4140.78,-0.002359385,0.004962229
792.507,0.4166772,1.632679,-120.7055,-81.13365,111206.1,151.6839,-3294.29,4157.02,-0.002398256,0.005163721
792.789,0,0,50.58251,-435.4217,63956.11,20.70447,-3301.057,4171.713,-0.001625984,0.00357655
793.061,1.252067,0.8893541,-69.46548,55.99435,10336.11,17.14777,-3307.018,4178.963,-0.002803246,0.002803861
793.341,1.244597,0.9131927,71.07851,55.50635,-1913.892,12.04467,-3319.423,4191.723,-0.005117979,0.005280772
793.605,1.173172,0.9451428,-20.17749,51.11435,-10803.89,4.312715,-3333.794,4205.771,-0.004790799,0.004709276
793.87,1.79772,0.3598416,-213.4255,-166.0457,2636.108,58.78007,-3347.294,4218.66,-0.003490491,0.002881577
794.122,-0.02072975,-0.9742828,86.69452,-54.78165,-28303.89,349.9485,-3352.45,4221.141,-0.0004064286,-0.0009333715
794.383,-0.4869177,-0.5224577,-31.40149,-64.54166,116.1078,2.33677,-3350.452,4216.05,0.001135905,-0.001257609
794.641,0,0,75.47052,-114.8056,43236.11,2.66323,-3349.099,4217.017,-0.0001216646,0.001297756
794.927,1.424737,0.6763163,19.83851,11.09835,-14023.89,112.2165,-3351.548,4219.433,-0.002148635,0.001905393
795.273,1.668782,0.3950518,142.8145,-93.33365,29376.11,294.4845,-3357.992,4227.263,-0.001701644,0.002390222
795.568,-0.4862615,-0.5181655,15.44651,-49.90165,16426.11,4.639175,-3362.535,4229.84,-0.001174721,0.0005664928
795.848,0.3718413,1.815508,286.7745,-27.94165,14116.11,3.316151,-3361.697,4230.034,-0.000445427,0.001336281
796.135,0.4094063,1.789835,151.5985,23.29835,18036.11,376.3918,-3363.856,4238.186,-0.000404481,0.003884735
796.452,0.293909,-0.6194229,75.47052,155.5464,-43633.89,236.2543,-3364.791,4241.279,-4.046266e-05,-0.001416193
796.755,1.469699,0.5391553,325.8145,-188.0056,23216.11,68.21306,-3369.012,4241.601,-0.003478465,0.001253253
797.041,1.657255,0.3869317,-199.7615,194.5863,20696.11,76.64948,-3379.516,4244.727,-0.003234008,0.0008086551
797.329,1.652471,0.3871369,202.3505,-255.3497,14256.11,83.43642,-3389.956,4247.144,-0.003192421,0.0006466904
797.629,1.478694,0.3072352,-169.9935,52.57835,30706.11,148.0584,-3401.136,4249.012,-0.00327172,0.0005656413
797.883,0,0,166.7265,-75.76565,-4293.892,294.4158,-3407.419,4249.625,-0.001332261,0.0
798.224,-0.5010046,-0.5822715,26.18251,3.290349,-20323.89,236.1168,-3405.905,4247.562,0.001170812,-0.001776404
798.533,-0.4603595,1.104548,10.56651,62.82635,-30053.89,70.56701,-3401.491,4241.311,0.001372145,-0.001936534
798.841,1.499137,0.4730031,21.30251,-134.3257,29726.11,251.1684,-3399.074,4245.661,-8.06833e-05,0.001452299
799.162,1.499137,0.4730031,125.7345,-4.029651,15026.11,251.3058,-3405.745,4249.785,-0.001613018,0.0009671997
799.416,0,0,10.07851,2.314349,11456.11,250.4983,-3409.804,4250.881,-0.001370324,0.0003225011
799.729,-0.08060688,-0.9790152,-1.633487,-8.421651,-23.89221,250.5326,-3409.708,4250.881,0.0,0.0
800.043,-0.01156446,-0.9857945,-79.22549,31.59435,-133793.9,85.49828,-3409.482,4243.341,8.056208e-05,-0.003181592
800.31,-0.4879029,-0.4986659,-132.4175,-99.67765,-119233.9,203.7972,-3408.741,4233.256,0.0008858871,-0.004992572
