time,left effort,right effort,x accel,y accel,z gyro,range,encoder left,encoder right,vel left,vel right
212.119,0.4531599,0.5540038,-16.27349,-75.76565,25036.11,9.621993,-532.8141,636.5672,-0.005772067,0.008050681
212.383,0.5702413,0.4950982,89.13451,6.706349,1936.108,9.965635,-538.1307,643.1083,-0.006675321,0.007434585
212.65,0.5904798,0.5078395,34.96651,-0.1256514,-23123.89,10.30928,-544.8005,649.1336,-0.008485509,0.006970035
213.021,0.3439084,0.7684354,-17.73749,-49.41365,8306.107,293.5739,-554.2092,657.9945,-0.01225196,0.01346223
213.303,0.1851783,0.8568083,-25.05749,156.5224,93426.11,172.8866,-558.5269,667.822,-0.004380849,0.01359522
213.642,0.330949,0.5570243,-3.097486,-84.54965,99376.11,4.089347,-562.4578,681.645,-0.007088228,0.02096385
213.948,0.4839864,0.6329932,-40.67349,19.88235,22376.11,268.9519,-568.29,690.5059,-0.008132771,0.01009037
214.221,0.36374,0.7924246,-94.84148,20.85835,52196.11,266.5292,-573.8965,698.5614,-0.007069355,0.01203318
214.502,0.5019841,0.6211466,13.98251,-60.14965,43026.11,5.292096,-579.6964,708.3245,-0.006459138,0.01021454
214.775,0.6437258,0.6053292,42.28651,16.95435,14256.11,3.986254,-586.044,716.9598,-0.007501264,0.009151224
215.038,1.132517,0.6333215,52.53451,8.658349,-22703.89,3.316151,-594.1316,725.0474,-0.01108827,0.00973949
215.317,1.039744,0.6289464,8.126513,31.10635,-44333.89,4.295533,-606.3113,734.1982,-0.01930463,0.01376712
215.644,0.6011596,0.7627798,76.93452,-48.43765,-443.8922,293.3849,-620.9398,746.5069,-0.02061979,0.02047063
215.905,0.4424294,0.7825572,26.18251,-73.81365,60456.11,10.65292,-629.0919,757.4622,-0.008506843,0.01328212
216.18,0,0,13.49451,-162.6297,36446.11,5.618556,-635.665,768.7074,-0.004769484,0.008793603
216.441,0,0,-1.145487,8.658349,256.1078,5.618556,-636.374,770.1252,0,0
216.694,0,0,5.686513,4.754349,46.10779,5.618556,-636.374,770.1252,0,0
216.968,-0.02021125,0.5420009,2.758513,9.146349,46.10779,5.618556,-636.374,770.1252,0,0
217.224,0.2746205,0.4463511,22.76651,-25.01365,35886.11,4.639175,-636.5672,772.3485,-0.000593144,0.003559991
217.485,0.3385586,0.4290277,35.45451,-22.57365,6836.108,3.316151,-638.5005,775.474,-0.002963005,0.00340754
217.745,0.3402295,0.3912455,24.23051,-36.72565,-2403.892,293.866,-641.6904,778.7606,-0.007842672,0.007990674
218.081,0.03348043,0.8051852,32.52651,35.98635,65216.11,293.4021,-644.3971,784.0127,-0.001477734,0.009899137
218.333,0.491061,0.5761247,-153.4015,-30.86965,21326.11,82.23367,-644.8159,791.1337,-0.000885337,0.009150255
218.669,0.4994581,0.5832927,12.51851,-142.6217,22866.11,236.0309,-647.5548,796.0957,-0.003389369,0.006483707
219.009,0.689567,0.5753442,42.28651,-47.94965,8516.107,237.079,-648.9402,798.4156,-0.001176899,0.001618062
219.348,0.8692248,0.6854187,285.3105,-280.7257,21046.11,267.921,-653.4191,801.4445,-0.01101731,0.007638716
219.662,0,0,93.03852,-201.1817,24266.11,294.0206,-657.5435,806.1166,-0.002493788,0.00542715
220.011,0.8560602,0.4556444,6.662513,-1.101651,-23.89221,291.6323,-657.9301,806.2454,-0.00175717,0.000585631
220.304,1.266592,0.8096036,-45.55349,44.28235,-11503.89,2.680412,-665.631,809.5966,-0.01901337,0.009946084
220.569,0.3073158,-0.6626455,45.21451,-245.1017,-90673.89,125.0859,-675.3619,814.9774,-0.0103719,0.002044384
220.822,0,0,-20.66549,5.242349,-1423.892,108.488,-677.7785,814.6553,0,0
221.117,0,0,8.126513,-5.493651,46.10779,109.3986,-677.7785,814.6553,0,0
221.44,0.3960753,0.4283872,5.198514,-5.005651,116.1078,266.7354,-677.8752,814.9453,-0.000436595,0.001309786
221.711,0.4934237,0.6142651,-1.145487,129.1944,12996.11,293.9519,-681.2262,818.973,-0.009155921,0.01104525
222.014,0.397946,0.7834814,45.70251,55.01835,34066.11,110.0687,-687.8638,826.9316,-0.006821486,0.009578891
222.284,0.3282312,0.5350128,-76.78548,-98.70165,59266.11,10.65292,-693.3414,836.6303,-0.005653091,0.01058184
222.543,0.6587942,0.4845298,40.82251,-10.37365,15936.11,7.250859,-698.0458,844.1702,-0.005501976,0.007094617
222.825,0.6092396,0.5088408,33.01451,41.84235,-29213.89,7.268041,-705.2634,850.55,-0.008531637,0.006506855
223.096,0.6088658,1.065566,-4.073486,-5.493651,16846.11,502.268,-712.6422,857.671,-0.01011024,0.01256537
223.418,0.5520951,0.9140891,-51.40949,16.95435,56466.11,281.3574,-722.3408,871.5906,-0.0116818,0.01730647
223.671,0.7065197,1.419101,0.3185129,34.52235,63046.11,91.01375,-730.525,883.9636,-0.009939896,0.01555793
223.947,0.6879868,1.427422,-15.78549,44.77035,75016.11,44.20962,-740.4814,899.0755,-0.01079079,0.01668971
224.228,0.6015034,1.478836,-66.53748,-26.96565,56816.11,62.18213,-751.0823,914.9929,-0.01163987,0.01710023
224.516,0,0,-65.07349,-244.6136,26296.11,23.81443,-760.1044,928.1714,-0.005023012,0.007318803
224.779,0.3216391,0.6289672,-25.05749,-53.31765,10896.11,23.23024,-761.2,929.7181,-0.00129033,0.002006908
225.043,0.6138209,0.8346348,-50.43349,189.7063,35256.11,22.31959,-765.0665,935.3569,-0.006299794,0.008591023
225.323,0.6597592,0.7178226,39.84651,-77.22965,24476.11,19.72509,-772.9285,945.7644,-0.009152443,0.01115396
225.587,0.7775603,0.6286598,70.59052,27.69035,11456.11,16.82131,-781.8217,955.7208,-0.009998329,0.01028404
225.866,0.727027,0.6535879,-9.929487,-47.94965,-16543.89,16.16838,-792.0358,965.5806,-0.01369458,0.012411
226.128,0.6254329,1.025617,-29.93749,-76.74165,12506.11,13.41924,-801.5734,974.8926,-0.00968965,0.01068698
226.39,0.6413274,1.082629,-72.88148,73.56235,64726.11,16.47766,-810.0476,986.7823,-0.009678166,0.01451725
226.682,0.6193713,0.9976469,8.614514,149.6904,74596.11,53.16151,-820.0684,1002.313,-0.01094493,0.01719971
226.97,0.6590487,1.133482,-84.10548,-53.31765,67526.11,80.87629,-830.4438,1018.359,-0.01121528,0.01717789
227.249,0.794758,0.8498713,23.25451,66.24235,43306.11,10.65292,-841.4958,1033.6,-0.01205238,0.01531298
227.527,0.7649722,0.915181,-18.22549,-79.66965,22306.11,8.573883,-853.45,1047.649,-0.0124623,0.01430333
227.786,0.7591418,0.9399432,-21.64149,101.8663,25876.11,7.250859,-864.5663,1060.892,-0.01188222,0.01456949
228.048,0.7461151,1.027371,-74.83349,144.3224,56466.11,59.89691,-875.4894,1075.037,-0.01215093,0.01624853
228.338,0.7346184,1.241261,-19.68949,-34.28565,47786.11,162.646,-887.7657,1091.631,-0.0141114,0.01848552
228.637,0.8377045,1.329302,9.590514,-35.26165,52546.11,218.3677,-900.9121,1109.031,-0.01507906,0.019448
228.947,0.7691904,1.341794,-5.537487,76.97835,40716.11,122.457,-915.5084,1127.203,-0.0180146,0.02223634
229.229,0.7575919,1.399627,50.09451,-31.84565,22726.11,91.30584,-929.0737,1143.411,-0.01461863,0.01672769
229.505,0.8302041,1.325075,-7.001487,-56.24565,22866.11,31.66667,-942.3812,1158.781,-0.01389922,0.01586454
229.788,0.6088295,1.469972,-54.33749,62.33835,48836.11,30.70447,-955.882,1174.923,-0.01360162,0.01682672
230.057,0.5375051,1.490731,-99.23348,-96.26165,79426.11,116.7698,-966.3539,1190.519,-0.01092444,0.01764699
230.335,0.6947043,1.463085,-109.9695,-46.97365,79006.11,93.7457,-975.8915,1206.146,-0.01077135,0.01692614
230.647,0.8386563,1.319589,27.15851,-31.35765,63186.11,80.24055,-987.7813,1223.868,-0.01187456,0.01704349
230.932,0.792621,1.391577,-195.8575,-90.40565,52756.11,80.80756,-1000.412,1240.494,-0.01367378,0.01744111
231.198,0.8396061,1.403175,-43.11349,9.146349,44776.11,16.16838,-1012.817,1256.283,-0.01337954,0.01672462
231.476,0.617628,0.9090664,-95.32948,-14.76565,48976.11,14.10653,-1026.286,1272.973,-0.01364165,0.0171222
231.736,1.464455,0.6575737,33.50251,6.218349,-8843.893,8.573883,-1038.304,1287.344,-0.01390448,0.01376488
232.018,1.464455,0.6575737,22.76651,-24.52565,-56303.89,234.3814,-1053.61,1299.363,-0.0193035,0.01416537
232.319,0.4267656,1.59649,1.782514,82.83435,22236.11,150.1031,-1069.849,1312.896,-0.01525623,0.01594929
232.607,0.4115524,1.682227,-169.5055,-182.6376,95876.11,78.2646,-1079.677,1328.555,-0.009003333,0.01662227
232.913,0.3437574,1.930509,-116.3135,162.8663,112256.1,96.9244,-1087.41,1345.182,-0.009130916,0.0213053
233.256,0.3681702,1.822664,-11.88149,-71.86165,-10313.89,293.9175,-1088.602,1350.305,0.002348714,-0.00248635
233.534,0.4175354,1.628456,-91.91348,1.826349,71166.11,125.756,-1091.438,1358.296,-0.004829308,0.01283146
233.805,0.4282148,1.592729,-81.66548,-70.39765,47716.11,27.92096,-1096.915,1372.312,-0.006339376,0.01584896
234.09,0.6459737,1.455665,-74.83349,-152.3817,30846.11,24.98282,-1104.713,1387.424,-0.009498007,0.015692
234.353,0.7812452,1.380873,-129.0015,-66.49365,49956.11,21.35739,-1114.541,1401.054,-0.01127502,0.01471128
234.633,1.262123,0.8195173,78.88652,-37.70165,13276.11,16.16838,-1126.398,1415.876,-0.01483107,0.0168913
234.893,1.248798,0.7787099,29.59851,36.47435,-10173.89,9.278351,-1138.964,1428.12,-0.01385428,0.0130311
235.154,0,0,9.590514,-131.8857,1376.108,4.639175,-1146.859,1436.207,-0.003289068,0.003425593
235.433,1.473109,0.5269064,1.782514,118.9464,-63513.89,3.333333,-1151.821,1438.85,-0.009032663,0.004653991
235.699,0,0,47.65451,-10.86165,-124203.9,110.7045,-1163.485,1443.715,-0.01380742,0.003827855
235.981,0,0,-9.929487,13.53835,-93.89221,106.9072,-1167.223,1444.456,0,0
236.287,0.5917114,1.150984,-66.53748,124.3143,21816.11,105.7045,-1167.609,1445.326,-0.001636132,0.003682459
236.568,0,0,-21.15349,-106.5097,1376.108,104.0034,-1171.411,1451.835,-0.002315315,0.003541344
236.853,0,0,-1.145487,13.05035,186.1078,104.3299,-1171.54,1451.996,0,0
237.132,0,0,2.270514,7.194349,-23.89221,104.3471,-1171.54,1451.996,0,0
237.451,0,0,2.758513,11.58635,-93.89221,267.5086,-1171.54,1451.996,0,0
237.706,0,0,5.198514,8.170349,46.10779,105.1546,-1171.54,1451.996,0,0
237.997,0.3063049,0.2376493,4.710513,10.12235,46.10779,293.7801,-1171.701,1452.028,-0.000677037,0.000135407
238.334,0.3610644,0.2234467,20.32651,26.22635,-14443.89,294.244,-1174.408,1453.671,-0.005408127,0.003380399
238.618,0.5847616,0.511764,1.782514,27.69035,-21023.89,63.76289,-1177.598,1455.25,-0.003240809,0.001485605
238.871,0.5265181,0.9468649,-142.6655,71.61035,9146.107,236.323,-1181.98,1459.02,-0.009577218,0.009846531
239.163,0.5426557,1.112414,33.01451,116.9944,63606.11,55.92783,-1189.649,1470.684,-0.008083305,0.0132037
239.444,0.7126129,1.420865,-92.40148,20.37035,88806.11,88.86597,-1198.026,1485.216,-0.008747274,0.01534061
239.739,0.5115607,1.501331,-85.08148,42.33035,80896.11,163.024,-1207.693,1501.488,-0.01007973,0.01720367
240.041,0.482234,1.519626,-153.8895,-47.46165,97066.11,61.61512,-1216.94,1518.501,-0.008457519,0.01610849
240.323,0,0,90.59852,-194.8376,101476.1,36.66667,-1220.678,1531.679,-0.000670484,0.008312482
240.636,0.6591191,0.567674,10.07851,-4.517651,-93.89221,294.055,-1220.968,1533.355,-0.001339225,0.000803027
240.922,0,0,54.48652,104.7943,-22913.89,30.15464,-1227.219,1538.22,-0.008425072,0.00655289
241.187,0,0,12.03051,-4.517651,46.10779,29.89691,-1229.603,1540.089,-0.000133617,0.000133617
241.455,0,0,3.246513,3.290349,-23.89221,29.89691,-1229.603,1540.089,0,0
241.739,0,0,3.734513,3.290349,-23.89221,29.89691,-1229.603,1540.089,0,0
241.998,0,0,2.270514,3.290349,46.10779,29.91409,-1229.603,1540.089,0,0
242.261,0,0,1.294514,2.314349,46.10779,29.89691,-1229.603,1540.089,0,0
242.545,0,0,2.270514,4.266349,46.10779,29.91409,-1229.603,1540.089,0,0
242.805,0,0,5.686513,3.290349,-23.89221,29.89691,-1229.603,1540.089,0,0
243.068,0,0,1.294514,1.338349,-23.89221,29.89691,-1229.603,1540.089,0,0
243.346,0,0,1.782514,0.362349,-23.89221,29.07216,-1229.603,1540.089,0,0
243.607,0,0,3.246513,2.314349,46.10779,29.08935,-1229.603,1540.089,0,0
243.873,0,0,3.246513,2.314349,46.10779,29.07216,-1229.603,1540.089,0,0
244.155,0,0,3.734513,2.314349,46.10779,29.89691,-1229.603,1540.089,0,0
244.419,0,0,4.222514,0.8503489,-23.89221,29.89691,-1229.603,1540.089,0,0
244.681,0,0,3.246513,1.338349,46.10779,29.08935,-1229.603,1540.089,0,0
244.959,0,0,2.270514,0.8503489,46.10779,29.08935,-1229.603,1540.089,0,0
245.223,0,0,1.294514,2.314349,-23.89221,29.08935,-1229.603,1540.089,0,0
245.493,0,0,3.246513,0.362349,46.10779,29.08935,-1229.603,1540.089,0,0
245.773,0,0,1.294514,0.362349,46.10779,29.08935,-1229.603,1540.089,0,0
246.034,0,0,3.246513,0.8503489,46.10779,29.08935,-1229.603,1540.089,0,0
