time,left effort,right effort,x accel,y accel,z gyro
23928,0,0,-2.049064,0.08627701,-53.37016
24037,0,0,0.8789368,2.526278,16.62984
24138,0,0,-0.585063,-0.4017239,16.62984
24227,0,0,0.8789368,-4.793723,-123.3702
24330,0,0,2.830937,4.478277,86.62984
24440,0,0,-0.09706306,2.038277,-53.37016
24543,0,0,-2.537064,-0.4017239,-53.37016
24644,0,0,-4.489063,-3.329723,16.62984
24730,0,0,-0.09706306,1.062277,16.62984
24836,0,0,-0.585063,-0.4017239,-53.37016
24940,0,0,1.366937,-0.4017239,-53.37016
25029,0,0,0.8789368,0.08627701,16.62984
25135,0,0,-1.073064,0.574276,16.62984
25240,0,0,-1.561064,-0.4017239,-53.37016
25334,0,0,-0.09706306,-1.377724,86.62984
25441,0,0,-1.561064,-3.329723,16.62984
25541,0,0,1.854937,1.062277,16.62984
25644,0,0,-0.585063,-0.8897228,16.62984
25731,0,0,-0.09706306,-3.329723,16.62984
25839,0,0,0.8789368,0.08627701,-53.37016
25942,0,0,-1.561064,0.08627701,-53.37016
26041,0,0,-0.09706306,0.574276,-53.37016
26130,0,0,-0.09706306,-0.8897228,16.62984
26235,0,0,0.3909369,-0.8897228,16.62984
26339,0,0,-0.585063,2.038277,16.62984
26437,0,0,1.854937,-0.4017239,16.62984
26537,0,0,-0.585063,-1.377724,16.62984
26642,0,0,1.366937,-0.8897228,86.62984
26729,0,0,-2.049064,0.08627701,16.62984
26836,0,0,-2.537064,0.08627701,16.62984
26928,0,0,0.3909369,0.574276,16.62984
27034,0,0,-0.585063,-0.8897228,-53.37016
27124,0,0,-1.073064,0.08627701,-53.37016
27231,0,0,0.3909369,-6.257723,16.62984
27339,0,0,0.8789368,-1.377724,16.62984
27441,0,0,-1.561064,-0.8897228,16.62984
27543,0,0,-2.537064,2.526278,16.62984
27644,0,0,-2.049064,-1.377724,-53.37016
27731,0,0,-0.585063,-1.377724,-53.37016
27853,0,0,1.366937,0.574276,16.62984
27941,0,0,1.854937,-0.4017239,16.62984
28043,0,0,-0.09706306,1.062277,16.62984
28144,0,0,-0.09706306,-0.4017239,16.62984
28231,0,0,-1.561064,0.08627701,-53.37016
28335,0,0,0.8789368,1.062277,16.62984
28441,0,0,0.3909369,-0.8897228,16.62984
28524,0,0,-0.09706306,0.574276,16.62984
28634,0,0,1.854937,-0.4017239,16.62984
28741,0,0,0.3909369,1.550278,16.62984
28841,0,0,-2.049064,-1.865723,16.62984
28928,0,0,-0.585063,3.014277,-53.37016
29043,0,0,1.854937,0.08627701,-53.37016
29132,0,0,-2.049064,-2.353724,16.62984
29236,0,0,-0.09706306,1.062277,-53.37016
29336,0,0,1.366937,1.062277,16.62984
29443,0,0,-0.585063,2.038277,16.62984
29541,0,0,-1.073064,-0.4017239,-53.37016
29644,0,0,0.3909369,-2.841722,16.62984
29744,0,0,-1.073064,-4.305723,-53.37016
29831,0,0,0.3909369,-1.865723,86.62984
29919,0,0,0.3909369,3.502277,-53.37016
30043,0,0,-2.049064,1.062277,16.62984
30130,0,0,0.8789368,-1.377724,16.62984
30238,0,0,0.8789368,0.574276,16.62984
30329,0,0,2.830937,2.526278,16.62984
30432,0,0,0.8789368,-0.8897228,16.62984
30538,0,0,-1.073064,0.08627701,16.62984
30624,0,0,-1.073064,2.038277,16.62984
30734,0,0,-0.585063,1.062277,16.62984
30841,0,0,-0.585063,3.014277,16.62984
30929,0,0,0.3909369,0.08627701,16.62984
31038,0,0,-1.561064,2.038277,16.62984
31138,0,0,-2.049064,-0.4017239,16.62984
31229,0,0,1.854937,1.062277,16.62984
31334,0,0,0.3909369,1.062277,16.62984
31438,0,0,-0.585063,-1.377724,16.62984
31542,0,0,-0.09706306,2.526278,-53.37016
31638,0,0,1.366937,1.062277,16.62984
31739,0,0,-0.09706306,-0.8897228,-53.37016
31831,0,0,0.8789368,-0.4017239,16.62984
31935,0,0,0.3909369,-1.377724,16.62984
32038,0,0,-0.585063,-4.793723,-53.37016
32143,0,0,-1.073064,2.526278,16.62984
32229,0,0,-0.585063,-2.841722,-53.37016
32336,0,0,-0.09706306,-2.841722,16.62984
32444,0,0,-1.073064,0.574276,16.62984
32538,0,0,-0.09706306,-0.8897228,16.62984
32644,0,0,-0.585063,-0.8897228,-53.37016
32729,0,0,1.854937,0.574276,16.62984
32833,0,0,-0.09706306,-1.377724,16.62984
32939,0,0,-0.09706306,2.038277,16.62984
33038,0,0,-2.049064,-1.377724,-53.37016
33144,0,0,1.854937,-2.353724,-53.37016
33242,0,0,-2.049064,1.062277,16.62984
33331,0,0,-0.09706306,0.08627701,16.62984
33422,0,0,-1.561064,-2.841722,16.62984
33528,0,0,0.3909369,-1.865723,-53.37016
33633,0,0,-0.09706306,0.08627701,16.62984
33737,0,0,-3.513063,1.550278,-53.37016
33826,0,0,-1.073064,0.08627701,16.62984
33930,0,0,0.3909369,-0.4017239,-53.37016
34035,0,0,0.3909369,-0.8897228,16.62984
34124,0,0,1.366937,1.062277,16.62984
34230,0,0,-1.561064,0.574276,16.62984
34339,0,0,-0.585063,-1.865723,86.62984
34427,0,0,-0.09706306,-1.377724,16.62984
34533,0,0,-0.09706306,0.08627701,16.62984
34633,0,0,0.3909369,-0.4017239,16.62984
34739,0,0,1.854937,-1.865723,-53.37016
34824,0,0,0.8789368,3.014277,16.62984
34931,0,0,1.366937,0.08627701,16.62984
35038,0,0,-0.585063,-0.8897228,16.62984
35141,0,0,-0.585063,0.574276,16.62984
35233,0,0,0.8789368,-0.4017239,16.62984
35333,0,0,-1.073064,0.574276,-53.37016
35440,0,0,-1.561064,1.062277,-53.37016
35528,0,0,1.854937,-0.8897228,16.62984
35630,0,0,0.8789368,-0.8897228,16.62984
35739,0,0,-3.513063,4.478277,16.62984
35830,0,0,-3.025064,-1.865723,-53.37016
35935,0,0,0.3909369,-5.769723,-53.37016
36034,0,0,1.366937,3.502277,16.62984
36138,0,0,2.342937,3.990276,16.62984
36226,0,0,-0.585063,-2.841722,16.62984
36331,0,0,-0.09706306,-1.865723,16.62984
36437,0,0,0.8789368,-0.8897228,16.62984
36542,0,0,-2.537064,2.526278,-53.37016
36644,0,0,0.3909369,-1.377724,16.62984
36729,0,0,-1.561064,0.574276,-53.37016
36837,0,0,0.3909369,-0.8897228,16.62984
36939,0,0,0.8789368,-2.841722,16.62984
37028,0,0,-0.09706306,1.550278,16.62984
37136,0,0,-0.585063,1.062277,16.62984
37236,0,0,-0.585063,-1.865723,86.62984
37337,0,0,-1.561064,-1.377724,16.62984
37435,0,0,1.366937,1.550278,16.62984
37528,0,0,-2.537064,-0.4017239,-53.37016
37638,0,0,2.342937,1.062277,-53.37016
37736,0,0,-0.09706306,0.08627701,16.62984
37843,0,0,-0.585063,0.574276,-53.37016
37929,0,0,1.366937,1.062277,16.62984
38033,0,0,-1.073064,2.526278,16.62984
38129,0,0,-2.049064,-2.353724,-53.37016
38236,0,0,1.366937,-0.8897228,-53.37016
38325,0,0,0.3909369,-2.841722,-53.37016
38430,0,0,-0.09706306,-0.8897228,16.62984
38540,0,0,-1.073064,-1.377724,-53.37016
38641,0,0,-0.585063,2.038277,-53.37016
38743,0,0,-0.585063,0.08627701,16.62984
38829,0,0,-0.09706306,-2.353724,-53.37016
38936,0,0,-0.09706306,-0.8897228,-53.37016
39036,0,0,-0.585063,1.062277,-53.37016
39141,0,0,-0.09706306,2.526278,16.62984
39229,0,0,-1.073064,-0.4017239,16.62984
39335,0,0,0.3909369,-0.8897228,16.62984
39440,0,0,-2.049064,-1.377724,-53.37016
39537,0,0,-0.09706306,-0.8897228,16.62984
39643,0,0,-0.585063,1.062277,-53.37016
39730,0,0,-1.073064,0.574276,16.62984
39838,0,0,0.8789368,1.062277,16.62984
39941,0,0,1.366937,1.062277,-53.37016
40036,0,0,0.8789368,-2.353724,16.62984
40142,0,0,-0.585063,-1.377724,16.62984
40230,0,0,-0.585063,4.478277,16.62984
40340,0,0,-0.09706306,0.08627701,-53.37016
40426,0,0,3.806937,0.08627701,-53.37016
40531,0,0,2.830937,-0.4017239,16.62984
40638,0,0,-1.561064,2.038277,16.62984
40738,0,0,-6.929063,1.062277,16.62984
40843,0,0,-3.025064,-1.865723,-53.37016
