time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
648.566,0.4267656,1.59649,-93.86549,-41.11765,98116.11,166.9588,-2293.363,2867.517,-0.001291913,0.004272497
648.902,0,0,79.86252,-234.8537,44706.11,236.4089,-2298.84,2880.921,-0.002085855,0.005213133
649.213,0,0,-141.6895,-10.37365,94196.11,4.639175,-2299.839,2886.85,-0.000496018,0.00292835
649.474,0.653588,0.727027,-7.001487,3.290349,-373.8922,2.33677,-2300.161,2889.814,0,0
649.735,0.7814133,0.7357423,82.30252,32.08235,-13113.89,3.659794,-2304.254,2893.584,-0.002380403,0.002280828
650.01,0.6679005,0.725311,-30.91349,-20.13365,22726.11,4.312715,-2312.599,2902.123,-0.003023917,0.003469748
650.273,0.7208799,0.6710947,-87.52148,-5.493651,-6183.892,4.312715,-2321.428,2911.274,-0.003468721,0.003320045
650.532,0.6588901,0.7390818,-31.88949,-5.005651,-5973.892,5.962199,-2330.965,2920.038,-0.003665495,0.003368262
650.811,0.6354379,1.037377,-91.91348,62.82635,31126.11,7.57732,-2340.438,2930.51,-0.00321789,0.004010171
651.079,0.9713167,0.8314792,-89.96149,-42.58165,34556.11,3.333333,-2349.267,2942.529,-0.003464802,0.004454744
651.354,1.083938,0.8373907,-60.19349,-60.14965,-25713.89,2.010309,-2361.994,2954.869,-0.006232884,0.005490741
651.613,0,0,19.83851,-201.1817,-2263.892,187.6804,-2369.985,2962.28,-0.001483323,0.001433492
651.916,0.1937642,0.8569235,-201.7135,328.7863,26296.11,185.1375,-2370.372,2963.053,-0.000197734,0.000889056
652.219,0,0,0.3185129,14.02635,-303.8922,186.2027,-2370.727,2965.309,0,0
652.54,0.3991633,0.5614849,94.99052,27.20235,-6673.892,142.5258,-2375.044,2969.208,-0.002962807,0.00291342
652.836,0.4627415,1.537397,-95.81748,54.04235,61156.11,95.75601,-2381.778,2978.488,-0.002319731,0.004195188
653.091,0,0,-27.00949,-363.6857,87196.11,294.1581,-2386.29,2988.251,-0.002023132,0.005575575
653.42,0.4577252,1.543028,5.198514,228.7464,36796.11,389.1409,-2387.675,2991.118,-0.001281942,0.002514564
653.733,0,0,-200.7375,-25.01365,128916.1,16.49484,-2392.089,3003.073,-0.000936628,0.004485209
653.995,0.3743474,1.408134,-212.9375,15.97835,77886.11,12.73196,-2393.829,3009.936,-0.000985156,0.002660556
654.277,0,0,-5.049487,-73.81365,6486.108,9.965635,-2396.181,3016.251,-0.000196648,0.000541434
654.534,0.3358983,0.4141779,20.32651,102.3543,1586.108,9.965635,-2396.471,3016.445,-0.000443123,0.000295415
654.793,0.5057119,0.4060506,-47.01749,-27.45365,1026.108,9.278351,-2398.566,3018.668,-0.001082388,0.001082388
655.07,0.8910312,0.5581039,58.39051,108.6983,-9543.893,8.556701,-2403.077,3022.889,-0.001967824,0.001770669
655.33,0.7995986,0.7112186,-35.30549,9.146349,-27323.89,7.594501,-2411.068,3028.979,-0.003491129,0.002752743
655.611,0.7951207,0.7137407,-2.121487,5.730349,-7023.892,7.920962,-2421.701,3038.645,-0.004816818,0.004570298
655.889,0.6859,0.9557343,-0.169487,153.5943,14396.11,207.3024,-2432.978,3049.633,-0.004814777,0.004961807
656.173,0.4763615,1.524392,-103.1375,-116.2697,73546.11,85.32646,-2443.45,3063.681,-0.003633611,0.005500274
656.478,0.4441869,1.561357,-60.19349,16.95435,99306.11,91.49484,-2452.15,3079.792,-0.002748301,0.005497346
656.772,0.4133699,1.654513,-25.54549,-114.3176,103366.1,150.7732,-2459.368,3095.258,-0.002649307,0.005887058
657.036,0,0,59.85451,-119.6857,18666.11,13.76289,-2463.138,3103.797,-0.000490112,0.001128113
657.314,0.6465477,0.4555737,-20.17749,34.52235,-18433.89,14.45017,-2465.683,3105.762,-0.001617912,0.001274347
657.577,0.5406033,0.448814,-18.71349,-56.24565,-16123.89,15.84192,-2471.902,3110.757,-0.002596684,0.00225437
657.841,0.4647083,0.6861236,-19.68949,-80.15765,24406.11,16.16838,-2477.831,3117.298,-0.002106129,0.002840955
658.122,0.7312496,0.8305001,14.95851,56.48235,37776.11,13.76289,-2483.856,3125.869,-0.0023011,0.003231111
658.386,0.9340708,0.8962224,49.60651,233.1384,-1003.892,11.35739,-2492.201,3135.632,-0.003621397,0.003866508
658.664,0.9165839,0.8960125,8.126513,-2.077651,-373.8922,7.90378,-2504.413,3148.037,-0.005625512,0.005870148
