time,left effort,right effort,x accel,y accel,z gyro,rangefinder,encoder left,encoder right,vel left,vel right
423.986,0,0,515.9708,-404.0143,-8143.893,8.934708,-1367.35,1715.696,-0.009043291,0.00874012
424.31,0.7971462,1.399184,387.6268,-130.7343,21816.11,345.0,-1376.275,1725.685,-0.005163484,0.005847614
424.615,0.4148224,1.742169,346.6348,-276.6463,67456.11,174.1924,-1386.457,1739.315,-0.005539542,0.008954574
424.915,0.4148224,1.742169,309.0588,-447.4463,93986.11,55.75601,-1394.48,1755.2,-0.00508029,0.01054037
425.201,0,0,455.9468,-293.2383,88246.11,17.45704,-1401.666,1770.279,-0.003864785,0.00810824
425.466,0.9421987,1.21844,417.8828,23.47369,-7373.893,16.80412,-1406.306,1777.562,-0.003937835,0.00461982
425.747,0.9448858,1.148894,445.2108,-196.1263,-1633.892,16.16838,-1418.228,1789.484,-0.007568269,0.007492289
426.009,0.9340182,1.212223,518.8988,-333.7423,16916.11,17.13058,-1431.761,1803.693,-0.007941853,0.008622108
426.274,0.9390193,1.239651,480.8348,-382.5423,5436.107,16.16838,-1445.97,1818.934,-0.008314919,0.008616749
426.557,0.9360081,1.256286,265.1388,-369.8543,8936.107,13.0756,-1461.437,1835.367,-0.008460217,0.008686582
426.827,0,0,317.3548,-786.6063,17616.11,54.72509,-1474.486,1850.092,-0.005737056,0.007247109
427.1,0.533638,1.492049,375.4268,-215.6463,62976.11,53.33333,-1479.964,1858.405,-0.003470044,0.006110947
427.39,0.5151037,1.499621,387.1388,-260.0543,69416.11,52.98969,-1487.762,1872.035,-0.004599308,0.007840502
427.685,0,0,515.9708,-577.7423,40856.11,168.677,-1495.495,1886.051,-0.002862773,0.00625329
427.972,0.8993367,1.283058,342.2428,0.04971313,29166.11,19.07216,-1497.17,1890.143,-0.001430712,0.002259019
428.257,0.9481556,1.208835,447.6508,-266.8863,13346.11,19.72509,-1506.128,1900.712,-0.006320189,0.007223195
428.518,0.9475386,1.203627,349.0748,-304.4623,14886.11,20.05155,-1518.855,1914.503,-0.007669168,0.008421216
428.799,0.9508688,1.095123,425.2028,-311.2943,24756.11,18.10997,-1533.452,1930.775,-0.009918805,0.01119645
429.075,0.4484457,1.555011,295.3948,-552.3663,48416.11,84.10653,-1547.242,1947.208,-0.00720914,0.009687387
429.355,0.4506708,1.551927,386.6508,-361.5583,90416.11,64.17525,-1556.522,1963.189,-0.004577406,0.008780942
429.655,0.5617898,1.484202,483.2748,-226.3823,84956.11,95.61855,-1564.868,1979.268,-0.004574778,0.008624231
429.922,1.031284,0.9754869,578.4348,-288.3583,8446.107,14.79381,-1574.888,1993.574,-0.006969776,0.008394282
430.189,0.9862926,1.015567,516.9468,-290.7983,8796.107,15.84192,-1588.873,2008.332,-0.008763351,0.00913763
430.468,0.9679979,1.044894,510.6028,-261.5183,6836.107,16.47766,-1604.468,2024.603,-0.008833103,0.00898198
430.732,0.9615481,1.059396,379.3308,-369.8543,13766.11,14.45017,-1619.225,2040.328,-0.008378497,0.008977041
430.994,0.9421987,1.21844,490.5948,-284.4543,-1003.892,13.76289,-1633.95,2055.858,-0.00882204,0.009120564
431.293,0.5151037,1.499621,367.1308,-351.3103,52056.11,198.5911,-1648.515,2072.678,-0.007172349,0.009786728
431.57,0.4792677,1.521978,338.3388,-352.7743,84396.11,71.51202,-1657.73,2087.564,-0.004777931,0.008511573
431.874,0.4707301,1.529408,356.3948,-332.2783,87336.11,158.7457,-1666.43,2103.61,-0.004849753,0.008952173
432.165,0.8410825,1.336345,528.6588,-285.9183,78166.11,16.16838,-1674.614,2119.012,-0.004772201,0.007903295
432.428,0.9448858,1.148894,362.2508,-274.6943,26506.11,15.13746,-1685.505,2133.351,-0.007003909,0.00849525
432.708,0.956145,1.074758,451.0668,-421.5823,5086.107,9.501719,-1699.908,2149.365,-0.01012739,0.01087187
432.976,1.242004,0.8672312,419.3468,-296.6543,-18083.89,99.02061,-1715.02,2164.702,-0.009376534,0.008930516
433.259,0.4175052,1.795789,331.0188,-317.1503,23776.11,100.8247,-1730.679,2180.298,-0.007883339,0.009073447
433.559,0.412708,1.773516,327.6028,-302.5103,95316.11,97.28522,-1740.958,2197.182,-0.004533585,0.008843615
433.853,0.5242461,1.370647,335.8988,-311.2943,92936.11,81.06529,-1748.53,2212.777,-0.004010834,0.008318225
434.134,0,0,420.3228,-585.0623,19926.11,20.70447,-1754.62,2224.183,-0.001781564,0.003265638
434.419,0.9462379,1.125687,461.3148,-186.8543,-8353.893,20.05155,-1760.323,2230.048,-0.005488147,0.005414806
434.689,0.9587154,1.066971,445.2108,-370.3423,-1913.892,20.70447,-1772.374,2242.42,-0.007857405,0.00793098
434.958,0.9500106,1.099346,471.5628,-355.2143,466.1077,19.39862,-1786.616,2256.92,-0.008223001,0.008444714
435.236,0.9448093,1.153666,340.2908,-441.1023,2286.108,19.39862,-1802.146,2272.548,-0.008143425,0.008513364
435.51,0.4184592,1.624283,338.8268,-288.3583,84186.11,62.86942,-1813.907,2288.207,-0.005104692,0.00873
435.802,0.4382797,1.571309,363.7148,-365.9503,98536.11,57.35395,-1821.737,2303.964,-0.004806322,0.0102031
436.082,0.9735177,1.034601,417.8828,-399.6223,37286.11,58.62543,-1830.244,2318.592,-0.00613232,0.008127907
436.361,0.9484912,1.107937,468.6348,-409.3823,956.1077,81.21993,-1843.938,2333.736,-0.008491415,0.008934534
436.645,0.8745115,1.281338,325.6508,-338.1343,9566.107,93.79725,-1859.662,2349.525,-0.01092146,0.009150696
436.939,0.5012677,1.506851,370.0588,-357.1663,50376.11,21.66667,-1874.194,2366.441,-0.006858683,0.00914398
437.21,0.5576161,1.485126,362.2508,-342.5263,83976.11,18.41924,-1883.538,2381.553,-0.005085682,0.008622345
437.502,0.7181467,1.428897,363.2268,-428.4143,66196.11,17.13058,-1892.721,2397.051,-0.004934129,0.008027864
437.785,0.8533507,1.28784,311.9868,-384.0063,65566.11,144.0893,-1902.903,2412.195,-0.006255691,0.009199923
438.07,0.8689105,1.297528,393.9708,-331.3023,30356.11,139.0034,-1914.825,2427.662,-0.007429215,0.009194494
438.373,0.8696823,1.382951,306.6188,-466.4783,32946.11,17.14777,-1928.938,2444.353,-0.007423802,0.008672983
438.638,0.8477378,1.370886,392.9948,-306.9023,27906.11,16.82131,-1941.73,2459.11,-0.00719863,0.008521361
438.901,0.8513535,1.367714,433.0108,-370.8303,28186.11,16.49484,-1954.328,2473.932,-0.007121169,0.008294867
439.186,0.8428929,1.276351,398.3628,-439.1503,23006.11,14.12371,-1967.862,2489.881,-0.00733696,0.008510728
439.451,0.808525,1.409877,407.6348,-210.2783,8026.107,10.30928,-1980.976,2504.317,-0.007405591,0.008065595
439.751,0.4577252,1.543028,392.5068,-415.7263,70256.11,149.8969,-1994.477,2520.395,-0.007986808,0.01135675
440.032,0.4462845,1.558155,406.1708,-448.4223,87196.11,94.00343,-2002.757,2535.12,-0.004613367,0.008493811
440.324,0.8198978,1.420578,353.9548,-267.8623,92586.11,181.9416,-2010.329,2550.2,-0.004390188,0.008782041
440.602,0.9472339,1.116719,412.5148,-258.1023,25246.11,13.76289,-2020.447,2564.635,-0.006216249,0.007898241
440.864,0.9508688,1.095123,376.4028,-424.5103,20836.11,12.04467,-2033.142,2579.038,-0.007381579,0.008332138
441.125,0.8261572,1.291809,375.9148,-307.3903,10616.11,9.278351,-2046.868,2593.828,-0.007523322,0.008180544
441.409,0.4401844,1.567935,311.9868,-289.8223,60456.11,61.90722,-2059.596,2609.359,-0.005767111,0.008248289
441.704,0.4364396,1.57474,398.8508,-352.7743,86356.11,303.3162,-2068.425,2624.825,-0.005033109,0.009629566
441.988,0.8118351,1.439159,414.4668,-283.9663,67176.11,65.89347,-2076.125,2639.518,-0.004738224,0.007872368
442.271,0.9151987,1.293755,358.8348,-488.4383,6066.107,15.84192,-2088.337,2654.243,-0.007212639,0.007868434
442.533,0.8897173,1.305829,474.0028,-344.9663,4036.108,16.82131,-2101.87,2668.388,-0.007571933,0.00800887
